17713	49191000.02	49191000.02	48212005.00	48212005.00
17843	75997619.09	75997619.09	76100201.37	76100201.37
29336	51099003.04	51099003.04	44600551.91	44600551.91
29337	57668002.33	57668002.33	60500001.00	60500001.00
29340	52540002.01	52540002.01	60151000.01	60151000.01
29344	69100000.01	69100000.01	60009520.00	60009520.00
17715	150014000.02	150014000.02	152000002.00	152000002.00
17718	130600000.08	130600000.08	141600008.25	141600008.25
17720	210866106.06	210866106.06	195000000.00	195000000.00
17722	211249010.22	211249010.22	235300105.05	235300105.05
17922	130687001.04	130687001.04	136950187.00	136950187.00
16236	874203.30	874203.30	910500.18	910500.18
32874	955001.00	955001.00	1015000.01	1015000.01
16238	900070.27	900070.27	841003.05	841003.05
32876	1000000.01	1000000.01	1015001.64	1015001.64
16240	902001.03	902001.03	910000.00	910000.00
32872	950006.01	950006.01	1065003.73	1065003.73
16242	700000.02	700000.02	820000.30	820000.30
32878	1001002.50	1001002.50	1110000.16	1110000.16
4302	60010006.21	60010006.21	61300000.03	61300000.03
16233	41004000.02	41004000.02	41404000.10	41404000.10
24696	41765000.03	41765000.03	41900000.03	41900000.03
4306	58400010.01	58400010.01	58100001.10	58100001.10
16227	32191600.74	32191600.74	34460010.63	34460010.63
24698	38986166.41	38986166.41	40750004.40	40750004.40
4308	62050222.25	62050222.25	61786000.25	61786000.25
16229	40503961.32	40503961.32	39711000.02	39711000.02
24700	41859517.24	41859517.24	40500001.10	40500001.10
4310	54000305.09	54000305.09	53130001.05	53130001.05
16231	29992942.19	29992942.19	29105000.59	29105000.59
24702	37000001.06	37000001.06	37300001.21	37300001.21
33151	161681962.60	161681962.60	168350635.01	168350635.01
33153	212000006.08	212000006.08	203000000.00	203000000.00
33155	152000200.02	152000200.02	145000000.00	145000000.00
33157	133300259.00	133300259.00	137460000.00	137460000.00
639	136103002.37	136103002.37	140000000.00	140000000.00
644	122069000.02	122069000.02	122688001.00	122688001.00
24694	156335000.01	156335000.01	167993600.10	167993600.10
642	151000500.03	151000500.03	152000002.00	152000002.00
643	116000000.00	116000000.00	116000000.13	116000000.13
24692	180110557.00	180110557.00	184989417.00	184989417.00
638	145005001.13	145005001.13	149751000.01	149751000.01
640	113600104.67	113600104.67	116225000.04	116225000.04
24688	152100577.32	152100577.32	170463009.02	170463009.02
641	142136428.60	142136428.60	147000000.00	147000000.00
645	153268000.01	153268000.01	154101000.01	154101000.01
24690	177570094.07	177570094.07	177954877.01	177954877.01
17636	559998998.98	559998998.98	551001000.13	551001000.13
17726	404000109.17	404000109.17	406680000.00	406680000.00
17728	437001100.00	437001100.00	451548100.05	451548100.05
17732	307952000.04	307952000.04	326119001.04	326119001.04
32305	323006334.40	323006334.40	364762212.33	364762212.33
32307	408871000.00	408871000.00	436499003.58	436499003.58
32309	488992000.01	488992000.01	512766934.12	512766934.12
32311	372409007.36	372409007.36	358516134.02	358516134.02
17736	881000000.06	881000000.06	857186249.46	857186249.46
17738	846132000.00	846132000.00	830000000.00	830000000.00
17740	1000082099.67	1000082099.67	1011694015.35	1011694015.35
17918	417009000.00	417009000.00	413100013.00	413100013.00
17920	861992401.01	861992401.01	831775000.00	831775000.00
19720	1600000009.05	1600000009.05	1861000100.00	1861000100.00
19726	1606000001.00	1606000001.00	1682306434.05	1682306434.05
19724	1600000001.01	1600000001.01	1885024000.88	1885024000.88
19722	2133000000.00	2133000000.00	2258200477.01	2258200477.01
20183	1031004000.05	1031004000.05	1080250015.03	1080250015.03
20185	1150000011.02	1150000011.02	1141000092.53	1141000092.53
20187	1030310000.00	1030310000.00	1056923000.00	1056923000.00
20189	1030300000.00	1030300000.00	1085919000.02	1085919000.02
11567	0.00	0.00	51726400.00	51726400.00
3764	0.00	0.00	51237400.00	51237400.00
671	0.00	0.00	51581811.11	51581811.11
23773	1.00	1.00	51525600.00	51525600.00
23757	802000002.01	802000002.01	981000110.01	981000110.01
23919	500000.00	500000.00	21111111.11	21111111.11
23915	900000191.06	900000191.06	852400307.00	852400307.00
23917	1000000.00	1000000.00	21111111.11	21111111.11
23911	702000000.00	702000000.00	1090000113.00	1090000113.00
23913	500000.00	500000.00	500000000.00	500000000.00
22852	500000.00	500000.00	21111111.11	21111111.11
24483	901000003.01	901000003.01	955071677.00	955071677.00
3514	1000000.00	1000000.00	67111112.00	67111112.00
28352	1600000000.00	1600000000.00	2065082001.89	2065082001.89
28606	521660000.01	521660000.01	536111111.00	536111111.00
28850	5105109003.05	5105109003.05	5301001000.90	5301001000.90
28844	5800000000.00	5800000000.00	5862100000.00	5862100000.00
28848	5001003011.51	5001003011.51	5827000051.99	5827000051.99
28846	5710000000.05	5710000000.05	5518816006.59	5518816006.59
651	360350.00	360350.00	545706.00	545706.00
652	1230000.00	1230000.00	775001.41	775001.41
653	640001.00	640001.00	575000.01	575000.01
650	565001.54	565001.54	335333.36	335333.36
654	700000.02	700000.02	718018.06	718018.06
655	830000.00	830000.00	550423.11	550423.11
656	800000.00	800000.00	756000.16	756000.16
657	1410502.00	1410502.00	1410201.03	1410201.03
648	555021.36	555021.36	450003.17	450003.17
649	996903.22	996903.22	1050025.44	1050025.44
1944	710003.00	710003.00	520003.04	520003.04
19744	466671.00	466671.00	560000.03	560000.03
2998	64000027.46	64000027.46	64750000.00	64750000.00
11184	15501000.00	15501000.00	18000000.00	18000000.00
11186	18180000.03	18180000.03	22151200.24	22151200.24
11176	22331000.00	22331000.00	23400000.00	23400000.00
11178	17057504.00	17057504.00	18001100.11	18001100.11
11200	18831019.39	18831019.39	19200000.05	19200000.05
11202	19515000.01	19515000.01	19500000.00	19500000.00
11196	14000300.00	14000300.00	13500000.00	13500000.00
11198	18935507.20	18935507.20	20200000.00	20200000.00
11188	15000980.08	15000980.08	14155001.03	14155001.03
12038	18178000.03	18178000.03	18200000.67	18200000.67
11192	22361000.01	22361000.01	26911000.13	26911000.13
12032	20631000.08	20631000.08	23500001.25	23500001.25
11172	19555119.18	19555119.18	18100200.38	18100200.38
11377	20700025.03	20700025.03	20312001.01	20312001.01
11182	19000005.00	19000005.00	18110000.26	18110000.26
12034	18900042.42	18900042.42	20260011.62	20260011.62
11365	20340300.61	20340300.61	21600001.00	21600001.00
11393	22408000.02	22408000.02	26100000.00	26100000.00
11379	23006000.00	23006000.00	28200000.36	28200000.36
11381	22724000.01	22724000.01	26000000.02	26000000.02
12042	24908882.03	24908882.03	24600000.00	24600000.00
12044	23500001.19	23500001.19	22000000.00	22000000.00
11371	24100001.00	24100001.00	25260000.74	25260000.74
11400	20000048.61	20000048.61	22333603.01	22333603.01
11190	17901000.00	17901000.00	18700000.01	18700000.01
11194	19648000.06	19648000.06	18800000.00	18800000.00
11174	19532158.01	19532158.01	22300000.03	22300000.03
11387	19011168.01	19011168.01	20000100.01	20000100.01
11987	129614010.04	129614010.04	123800003.05	123800003.05
11985	116939000.01	116939000.01	110500099.54	110500099.54
11989	126601000.02	126601000.02	127000000.11	127000000.11
11978	134000000.13	134000000.13	135325500.30	135325500.30
12003	150918010.08	150918010.08	143500001.01	143500001.01
12019	146660000.05	146660000.05	139651003.00	139651003.00
11993	181020015.01	181020015.01	180570001.00	180570001.00
12011	158920000.00	158920000.00	200000000.00	200000000.00
12005	170819000.37	170819000.37	183101000.01	183101000.01
12023	151824001.59	151824001.59	148662016.00	148662016.00
11999	152972000.00	152972000.00	161001002.00	161001002.00
12015	157667102.00	157667102.00	152742003.00	152742003.00
11965	139762155.27	139762155.27	134510000.07	134510000.07
20125	110630000.01	110630000.01	110000000.00	110000000.00
11957	163899000.20	163899000.20	160666699.27	160666699.27
11959	108102557.05	108102557.05	105000024.01	105000024.01
11969	142830000.01	142830000.01	147122000.00	147122000.00
11971	107856687.33	107856687.33	106707003.26	106707003.26
11961	138726002.02	138726002.02	147400000.06	147400000.06
11963	146000000.07	146000000.07	145100115.00	145100115.00
12017	211999000.00	211999000.00	210802000.00	210802000.00
11995	222903000.02	222903000.02	217771009.97	217771009.97
12021	227789010.89	227789010.89	215000005.15	215000005.15
12013	193716000.02	193716000.02	221106001.99	221106001.99
29986	155000001.61	155000001.61	150000001.00	150000001.00
29984	158122000.01	158122000.01	156200000.00	156200000.00
29988	143071000.01	143071000.01	147000000.00	147000000.00
29990	155057000.11	155057000.11	148800000.02	148800000.02
22452	28876650.01	28876650.01	32600002.51	32600002.51
22464	38000000.00	38000000.00	36950005.30	36950005.30
22460	29226548.57	29226548.57	31500002.12	31500002.12
22456	41000000.00	41000000.00	42005000.71	42005000.71
22448	186760000.15	186760000.15	185000005.00	185000005.00
22474	221921608.01	221921608.01	214377000.00	214377000.00
22446	200126000.02	200126000.02	203100042.46	203100042.46
22470	211097004.02	211097004.02	201200635.31	201200635.31
22442	296000006.09	296000006.09	302545174.00	302545174.00
22466	235711605.13	235711605.13	239092076.00	239092076.00
22444	180021001.08	180021001.08	206093041.00	206093041.00
22468	219999999.99	219999999.99	207213795.79	207213795.79
22428	695000000.13	695000000.13	722310327.00	722310327.00
22436	643250000.00	643250000.00	715377624.00	715377624.00
22430	605208095.68	605208095.68	680890003.00	680890003.00
